title,cleaned_title,sentiment_label,source
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",according to gran the company ha no plan to move all production to russia although that is where the company is growing,neutral,financial_phrasebank
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",technopolis plan to develop in stage an area of no less than 100000 square meter in order to host company working in computer technology and telecommunication the statement said,neutral,financial_phrasebank
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",the international electronic industry company elcoteq ha laid off ten of employee from it tallinn facility contrary to earlier layoff the company contracted the rank of it office worker the daily postimees reported,negative,financial_phrasebank
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,with the new production plant the company would increase it capacity to meet the expected increase in demand and would improve the use of raw material and therefore increase the production profitability,positive,financial_phrasebank
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",according to the company s updated strategy for the year 20092012 basware target a longterm net sale growth in the range of 20 40 with an operating profit margin of 10 20 of net sale,positive,financial_phrasebank
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,financing of aspocomp s growth aspocomp is aggressively pursuing it growth strategy by increasingly focusing on technologically more demanding hdi printed circuit board pcbs,positive,financial_phrasebank
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",for the last quarter of 2010 componenta s net sale doubled to eur131m from eur76m for the same period a year earlier while it moved to a zero pretax profit from a pretax loss of eur7m,positive,financial_phrasebank
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",in the third quarter of 2010 net sale increased by 52 to eur 2055 mn and operating profit by 349 to eur 235 mn,positive,financial_phrasebank
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,operating profit rose to eur 131 mn from eur 87 mn in the corresponding period in 2007 representing 77 of net sale,positive,financial_phrasebank
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",operating profit totalled eur 211 mn up from eur 186 mn in 2007 representing 97 of net sale,positive,financial_phrasebank
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,teliasonera tlsn said the offer is in line with it strategy to increase it ownership in core business holding and would strengthen eesti telekom s offering to it customer,positive,financial_phrasebank
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",stora enso norske skog mreal upmkymmene credit suisse first boston cfsb raised the fair value for share in four of the largest nordic forestry group,positive,financial_phrasebank
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",a purchase agreement for 7200 ton of gasoline with delivery at the hamina terminal finland wa signed with neste oil oyj at the average platts index for this september plus eight u dollar per month,positive,financial_phrasebank
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",finnish talentum report it operating profit increased to eur 205 mn in 2005 from eur 93 mn in 2004 and net sale totaled eur 1033 mn up from eur 964 mn,positive,financial_phrasebank
"Clothing retail chain Sepp+Æl+Æ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",clothing retail chain seppl s sale increased by 8 to eur 1552 mn and operating profit rose to eur 311 mn from eur 171 mn in 2004,positive,financial_phrasebank
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",consolidated net sale increased 16 to reach eur74 8 m while operating profit amounted to eur0 9 m compared to a loss of eur0 7 m in the prior year period,positive,financial_phrasebank
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",foundry division report it sale increased by 97 to eur 631 mn from eur 575 mn in the corresponding period in 2006 and sale of the machine shop division increased by 164 to eur 412 mn from eur 354 mn in the corresponding period in 2006,positive,financial_phrasebank
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",helsinki afx share closed higher led by nokia after it announced plan to team up with sanyo to manufacture 3g handset and by nokian tyre after it fourthquarter earnings report beat analyst expectation dealer said,positive,financial_phrasebank
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",incap contract manufacturing service pvt ltd a subsidiary of incap corporation of finland plan to double it revenue by 20072008,positive,financial_phrasebank
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",it board of director will propose a dividend of eur0 12 per share for 2010 up from the eur0 08 per share paid in 2009,positive,financial_phrasebank
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",lifetree wa founded in 2000 and it revenue have risen on an average by 40 with margin in late 30,positive,financial_phrasebank
"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",filippova a trilateral agreement on investment in the construction of a technology park in st petersburg wa to have been signed in the course of the forum day of the russian economy that opened in helsinki today,positive,financial_phrasebank
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",megafon s subscriber base increased 161 in 2009 to 505 million user a of december 31 while it market share by the number of customer amounted to 24 a of late 2009 up from 23 a of late 2008 according to teliasonera estimate,positive,financial_phrasebank
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",net income from life insurance doubled to eur 68 mn from eur 32 mn and net income from nonlife insurance rose to eur 52 mn from eur 15 mn in the corresponding period in 2009,positive,financial_phrasebank
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),net sale increased to eur193 3 m from eur179 9 m and pretax profit rose by 342 to eur43 1 m eur1 usd1 4,positive,financial_phrasebank
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",net sale surged by 185 to eur167 8 m teleste said that eur20 4 m or 122 of the sale came from the acquisition made in 2009,positive,financial_phrasebank
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,nordea group s operating profit increased in 2010 by 18 percent yearonyear to 364 billion euro and total revenue by 3 percent to 933 billion euro,positive,financial_phrasebank
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",operating profit for the ninemonth period increased from eur13 6 m while net sale increased from eur394 7 m a compared to the corresponding period in 2005,positive,financial_phrasebank
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",operating profit for the ninemonth period increased from eur3 1 m and net sale increased from eur61 5 m a compared to the corresponding period in 2007,positive,financial_phrasebank
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",operating profit for the threemonth period increased from eur1 2 m while revenue increased from eur20 2 m a compared to the corresponding period in 2005,positive,financial_phrasebank
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .",the brazilian unit of finnish security solution provider fsecure signed up 1500 new client last year online news source reseller web quoted the division s commercial director vladimir brando a saying,positive,financial_phrasebank
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",the company s net profit rose 114 on the year to 822 million euro in 2005 on sale of 6865 million euro 138 up on the year the company said earlier,positive,financial_phrasebank
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",the lithuanian beer market made up 1441 million liter in january a rise of 08 percent from the yearearlier figure the lithuanian brewer association reporting citing the result from it member,positive,financial_phrasebank
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",viking line s cargo revenue increased by 54 to eur 2146 mn and cargo volume increased by 24 to 70116 cargo unit,positive,financial_phrasebank
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",the fair value of the property portfolio doubled a a result of the kapiteeli acquisition and totalled eur 26862 12597 million,positive,financial_phrasebank
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,10 february 2011 finnish medium company sanoma oyj hel saa1v said yesterday it 2010 net profit almost tripled to eur297 3 m from eur107 1 m for 2009 and announced a proposal for a raised payout,positive,financial_phrasebank
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",a helsinki eliiv today reported eps of eur1 13 for 2009 an increase over eps of eur1 12 in 2008,positive,financial_phrasebank
"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",aspo plc stock exchange release february 11 2011 at8 45 am esl shipping ltd part of aspo group ha signed a new longterm contract with rautaruukki corporation for the marine transport of raw material on the baltic sea,positive,financial_phrasebank
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",commission income increased by 22 to eur 44 mn and lending volume rose by 135,positive,financial_phrasebank
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",in january traffic measured in revenue passenger kilometre rpk went up by 32 and capacity measured in available seat kilometre ask rose by 122,positive,financial_phrasebank
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",in januaryseptember 2010 fiskars net profit went up by 14 yearonyear to eur 654 million and net sale to eur 5253 million from eur 4877 million,positive,financial_phrasebank
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",net income from life insurance rose to eur 165 mn from eur 140 mn and net income from nonlife insurance to eur 226 mn from eur 152 mn in 2009,positive,financial_phrasebank
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",nyrstar ha also agreed to supply to talvivaara up to 150000 tonne of sulphuric acid per annum for use in talvivaara s leaching process during the period of supply of the zinc in concentrate,positive,financial_phrasebank
"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",sale for both the department store division and hobby hall increased by 7 while sale for the clothing store subsidiary seppala decreased by 4,positive,financial_phrasebank
Sales have risen in other export markets .,sale have risen in other export market,positive,financial_phrasebank
Sales increased due to growing market rates and increased operations .,sale increased due to growing market rate and increased operation,positive,financial_phrasebank
The agreement strengthens our long-term partnership with Nokia Siemens Networks .,the agreement strengthens our longterm partnership with nokia siemens network,positive,financial_phrasebank
"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",the agreement wa signed with biohit healthcare ltd the ukbased subsidiary of biohit oyj a finnish public company which develops manufacture and market liquid handling product and diagnostic test system,positive,financial_phrasebank
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,the company also estimate the already carried out investment to lead to an increase in it net sale for 2010 from 2009 when they reached eur 1417 million,positive,financial_phrasebank
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",the company s order book stood at 15 bln euro 22 bln on september 30 2007 up by 242 pct on the year with international order amounting to 365 mln euro 5343 mln,positive,financial_phrasebank
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",the company said that paper demand increased in all of it main market including of publication paper and that it increased average paper price by 4 percent compared with last year,positive,financial_phrasebank
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",the world s second largest stainless steel maker said net profit in the threemonth period until dec 31 surged to euro603 million u 781 million or euro3 33 u 431 per share from euro172 million or euro0 94 per share the previous year,positive,financial_phrasebank
"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",within the framework of the partnership nokia siemens network ha signed an initial framework purchase agreement with sitronics subsidiary jsc mikron which is the largest manufacturer and exporter of microelectronic component in russia,positive,financial_phrasebank
"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",seppala s revenue increased by 02 to eur10 1 m in finland revenue went down by 24 to eur6 8 m while sale abroad rose by 62 to eur3 3 m sale increased in all the baltic country a well a in russia and ukraine,positive,financial_phrasebank
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",share of standard chartered stan rose 12 in the ftse 100 while royal bank of scotland rb share rose 2 and barclays share barc bcs were up 17,positive,financial_phrasebank
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,share of nokia corp rose thursday after the cell phone maker said it thirdquarter earnings almost doubled and it share of the global handset market increased,positive,financial_phrasebank
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",in it financial report published on friday seb said it net profit soared to sek6 745 bn in 2010 from a yearearlier sek1 114 bn and proposed a 50 dividend increase to sek1 50 per share,positive,financial_phrasebank
Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,sale for the department store division increased by 15 and sale for the clothing store subsidiary seppala increased by 8 meanwhile sale for hobby hall decreased by 12,positive,financial_phrasebank
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",at the request of finnish medium company alma medium s newspaper research manager jari kaivooja at the finland future research centre at the turku school of economics ha drawn up a future scenario for finland s national economy by using a model developed by the university of denver,neutral,financial_phrasebank
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",in sweden gallerix accumulated sek denominated sale were down 1 and eur denominated sale were up 11,neutral,financial_phrasebank
The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,the company support it global customer in developing new technology and offer a fast route from product development to application and volume production,neutral,financial_phrasebank
"When this investment is in place , Atria plans to expand into the Moscow market .",when this investment is in place atrium plan to expand into the moscow market,neutral,financial_phrasebank
"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",the new agreement is a continuation to theagreement signed earlier this year with the lemminkainen group whereby cramo acquired the entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo and signed asimilar agreement said tatu hauhio managing director ofcramo finland,neutral,financial_phrasebank
"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",at first the contract envisaged the construction of three ferryboat with an option for two more unit further confirmed at a total value of 500 mln euro 6458 mln,positive,financial_phrasebank
"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",in june it sold a 30 percent stake to nordstjernan and the investment group ha now taken up the option to acquire eqt s remaining share,neutral,financial_phrasebank
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",kesko corporation stock exchange release 28022008 at 0930 1 1 kesko corporation and aspo plc today signed an agreement by which aspo acquires the share capital of kaukotelko ltd a subsidiary wholly owned by kesko,positive,financial_phrasebank
Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,sponda plc stock exchange release 5 december 2006 at 1545 eur 15 billion syndicated credit facility for sponda sponda ha signed an agreement for a oneyear syndicated credit facility for a total of eur 15 billion,positive,financial_phrasebank
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,stock exchange announcement 20 july 2006 1 1 basware share subscription with warrant and increase in share capital a total of 119 850 share have been subscribed with basware warrant program,neutral,financial_phrasebank
"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",the contract cover hdo platform ac800 and cxe880 optical fttb node designed to increase the forward and return path capacity of the transmission network,positive,financial_phrasebank
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,the new plant is planned to have an electricity generation capacity of up to 350 megawatt mw and the same heat generation capacity,neutral,financial_phrasebank
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",the omx helsinki 25 index wa up 092 pct at 251867 and the helsinki cap portfolio index wa 091 pct higher at 471119,positive,financial_phrasebank
"- So , the sales growth of cars considerably influence on the tires market '' .",so the sale growth of car considerably influence on the tire market,neutral,financial_phrasebank
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",a maximum of 666104 new share can further be subscribed for by exercising b option under the 2004 stock option plan,neutral,financial_phrasebank
